name,category,description,price
"P2 / PF CP 207","Machined Components","P2 / PF CP 207 - industrial composite",0
"P3 / PF CP 203","Machined Components","P3 / PF CP 203 - industrial composite",0
"P4 / PF CP 204","Machined Components","P4 / PF CP 204 - industrial composite",0
"F2 / PF CC 202 / 305","Machined Components","F2 / PF CC 202 / 305 - industrial composite",0
"F3 / PF CC 203","Machined Components","F3 / PF CC 203 - industrial composite",0
"F4 / PF CC 204","Machined Components","F4 / PF CC 204 - industrial composite",0
"F5 / PF CC 204","Machined Components","F5 / PF CC 204 - industrial composite",0
"Magnetic Laminates","Machined Components","Magnetic Laminates - industrial composite",0
"MICA Tubes","Machined Components","MICA Tubes - industrial composite",0
"MICA Sheet","Machined Components","MICA Sheet - industrial composite",0
"MICA Paper","Machined Components","MICA Paper - industrial composite",0
"MICA Tape","Machined Components","MICA Tape - industrial composite",0
"Synthetic MICA Tape","Machined Components","Synthetic MICA Tape - industrial composite",0
"Muscovite MICA Tape","Machined Components","Muscovite MICA Tape - industrial composite",0
"Phlogophite MICA Tape","Machined Components","Phlogophite MICA Tape - industrial composite",0
"Calcinied MICA Tape","Machined Components","Calcinied MICA Tape - industrial composite",0
"Products |","Machined Components","Products | - industrial composite",0
"GPO-1","Machined Components","GPO-1 - industrial composite",0
"GPO-2","Machined Components","GPO-2 - industrial composite",0
"GPO-3","Machined Components","GPO-3 - industrial composite",0
"SG204","Machined Components","SG204 - industrial composite",0
"HT276","Machined Components","HT276 - industrial composite",0
"Products","Molded Parts","Products - industrial composite",0
"Glass Fabric Laminates","Molded Parts","Glass Fabric Laminates - industrial composite",0
"Glass Matte Laminates","Molded Parts","Glass Matte Laminates - industrial composite",0
"Speciality Laminates","Molded Parts","Speciality Laminates - industrial composite",0
"MICA","Molded Parts","MICA - industrial composite",0
"Tubes And Cylinders","Molded Parts","Tubes And Cylinders - industrial composite",0
"Threaded Rods","Molded Parts","Threaded Rods - industrial composite",0
"FR4 / EPGC 202","Molded Parts","FR4 / EPGC 202 - industrial composite",0
"G10 / EPGC 201","Molded Parts","G10 / EPGC 201 - industrial composite",0
"G11 / EPGC 202","Molded Parts","G11 / EPGC 202 - industrial composite",0
"G7 / SIGC 202","Molded Parts","G7 / SIGC 202 - industrial composite",0
"G30 / PFGC 301","Molded Parts","G30 / PFGC 301 - industrial composite",0
